product,version,update,release_date
jre,"1.2",*,1998-12
jre,"1.3",*,2000-05
jre,"1.4",*,2002-02
jre,"1.5",*,2004-10
jre,"1.5",update1,2004-12
jre,"1.5",update2,2005-03
jre,"1.5",update3,2005-05
jre,"1.5",update4,2005-07
jre,"1.5",update5,2005-09
jre,"1.5",update6,2005-12
jre,"1.5",update7,2006-05
jre,"1.5",update8,2006-08
jre,"1.5",update9,2006-11
jre,"1.5",update10,2006-12
jre,"1.5",update11,2007-03
jre,"1.5",update12,2007-06
jre,"1.5",update13,2007-10
jre,"1.5",update15,2008-03
jre,"1.5",update16,2008-07
jre,"1.5",update17,2008-12
jre,"1.5",update18,2009-03
jre,"1.5",update19,2009-05
jre,"1.5",update20,2009-08
jre,"1.5",update21,2009-09
jre,"1.5",update22,2009-11
jre,"1.5",update23,2010-01
jre,"1.5",update24,2010-04
jre,"1.5",update25,2010-07
jre,"1.5",update26,2010-10
jre,"1.5",update27,2010-12
jre,"1.5",update28,2011-02
jre,"1.5",update29,2011-03
jre,"1.5",update30,2011-06
jre,"1.5",update31,2011-08
jre,"1.5",update32,2011-10
jre,"1.5",update33,2011-12
jre,"1.5",update34,2012-02
jre,"1.5",update35,2012-04
jre,"1.5",update36,2012-06
jre,"1.5",update38,2012-08
jre,"1.5",update39,2013-02
jre,"1.5",update40,2013-02
jre,"1.5",update41,2013-03
jre,"1.5",update45,2013-04
jre,"1.5",update51,2013-06
jre,"1.5",update55,2013-10
jre,"1.5",update61,2014-01
jre,"1.5",update65,2014-04
jre,"1.5",update71,2014-07
jre,"1.5",update75,2014-10
jre,"1.5",update81,2015-01
jre,"1.5",update85,2015-04
jre,"1.6",*,2006-12
jre,"1.6",update1,2007-05
jre,"1.6",update2,2007-07
jre,"1.6",update3,2007-10
jre,"1.6",update4,2008-01
jre,"1.6",update5,2008-03
jre,"1.6",update6,2008-04
jre,"1.6",update10,2008-10
jre,"1.6",update11,2008-12
jre,"1.6",update12,2008-12
jre,"1.6",update13,2009-03
jre,"1.6",update14,2009-05
jre,"1.6",update15,2009-08
jre,"1.6",update16,2009-08
jre,"1.6",update17,2009-11
jre,"1.6",update18,2010-01
jre,"1.6",update19,2010-03
jre,"1.6",update20,2010-04
jre,"1.6",update21,2010-07
jre,"1.6",update22,2010-10
jre,"1.6",update23,2010-12
jre,"1.6",update24,2011-02
jre,"1.6",update25,2011-03
jre,"1.6",update26,2011-06
jre,"1.6",update27,2011-08
jre,"1.6",update29,2011-10
