CVE,reservedDate,publishedDate,baseScore
CVE-2008-0655,2008-02,2008-02,9.3
CVE-2008-0667,2008-02,2008-02,4.3
CVE-2008-0726,2008-02,2008-02,9.3
CVE-2008-0883,2008-02,2008-03,3.7
CVE-2008-1654,2008-04,2008-04,4.3
CVE-2008-1655,2008-04,2008-04,4.3
CVE-2008-2042,2008-04,2008-05,9.3
CVE-2008-2549,2008-06,2008-06,4.3
CVE-2008-2641,2008-06,2008-06,10
CVE-2008-2992,2008-07,2008-11,9.3
CVE-2008-3872,2008-08,2008-10,9.3
CVE-2008-3873,2008-08,2008-08,4.3
CVE-2008-4401,2008-10,2008-10,10
CVE-2008-4503,2008-10,2008-10,6.8
CVE-2008-4546,2008-10,2008-10,4.3
CVE-2008-4812,2008-10,2008-11,9.3
CVE-2008-4813,2008-10,2008-11,9.3
CVE-2008-4814,2008-10,2008-11,9.3
CVE-2008-4815,2008-10,2008-11,7.5
CVE-2008-4816,2008-10,2008-11,4.3
CVE-2008-4817,2008-10,2008-11,9.3
CVE-2008-4818,2008-10,2008-11,4.3
CVE-2008-4819,2008-10,2008-11,6.8
CVE-2008-4820,2008-10,2008-11,7.1
CVE-2008-4821,2008-10,2008-11,4.3
CVE-2008-4822,2008-10,2008-11,6.8
CVE-2008-4823,2008-10,2008-11,4.3
CVE-2008-4824,2008-10,2008-11,9.3
CVE-2008-5361,2008-12,2008-12,4.3
CVE-2008-5362,2008-12,2008-12,4.3
CVE-2008-5363,2008-12,2008-12,4.3
CVE-2008-5499,2008-12,2008-12,9.3
CVE-2010-0186,2010-01,2010-02,6.8
CVE-2010-0187,2010-01,2010-02,4.3
CVE-2010-0188,2010-01,2010-02,9.3
CVE-2010-0190,2010-01,2010-04,4.3
CVE-2010-0191,2010-01,2010-04,9.3
CVE-2010-0192,2010-01,2010-04,9.3
CVE-2010-0193,2010-01,2010-04,9.3
CVE-2010-0194,2010-01,2010-04,9.3
CVE-2010-0195,2010-01,2010-04,9.3
CVE-2010-0196,2010-01,2010-04,9.3
CVE-2010-0197,2010-01,2010-04,9.3
CVE-2010-0198,2010-01,2010-04,9.3
CVE-2010-0199,2010-01,2010-04,9.3
CVE-2010-0201,2010-01,2010-04,9.3
CVE-2010-0202,2010-01,2010-04,9.3
CVE-2010-0203,2010-01,2010-04,9.3
CVE-2010-0204,2010-01,2010-04,9.3
CVE-2010-0209,2010-01,2010-08,9.3
CVE-2010-1240,2010-04,2010-04,9.3
CVE-2010-1241,2010-04,2010-04,9.3
CVE-2010-1278,2010-04,2010-04,9.3
CVE-2010-1285,2010-04,2010-06,9.3
CVE-2010-1295,2010-04,2010-06,9.3
CVE-2010-1297,2010-04,2010-06,9.3
CVE-2010-2160,2010-06,2010-06,9.3
CVE-2010-2161,2010-06,2010-06,9.3
CVE-2010-2162,2010-06,2010-06,9.3
CVE-2010-2163,2010-06,2010-06,9.3
CVE-2010-2164,2010-06,2010-06,9.3
CVE-2010-2165,2010-06,2010-06,9.3
CVE-2010-2166,2010-06,2010-06,9.3
CVE-2010-2167,2010-06,2010-06,9.3
CVE-2010-2168,2010-06,2010-06,9.3
CVE-2010-2169,2010-06,2010-06,9.3
CVE-2010-2170,2010-06,2010-06,9.3
CVE-2010-2171,2010-06,2010-06,9.3
CVE-2010-2172,2010-06,2010-06,4.3
CVE-2010-2173,2010-06,2010-06,9.3
CVE-2010-2174,2010-06,2010-06,9.3
CVE-2010-2175,2010-06,2010-06,9.3
CVE-2010-2176,2010-06,2010-06,9.3
CVE-2010-2177,2010-06,2010-06,9.3
CVE-2010-2178,2010-06,2010-06,9.3
CVE-2010-2179,2010-06,2010-06,4.3
CVE-2010-2180,2010-06,2010-06,9.3
CVE-2010-2181,2010-06,2010-06,9.3
CVE-2010-2182,2010-06,2010-06,9.3
CVE-2010-2183,2010-06,2010-06,9.3
CVE-2010-2184,2010-06,2010-06,9.3
CVE-2010-2185,2010-06,2010-06,9.3
CVE-2010-2186,2010-06,2010-06,9.3
CVE-2010-2187,2010-06,2010-06,9.3
CVE-2010-2188,2010-06,2010-06,9.3
CVE-2010-2189,2010-06,2010-06,9.3
CVE-2010-2201,2010-06,2010-06,9.3
CVE-2010-2202,2010-06,2010-06,9.3
CVE-2010-2203,2010-06,2010-06,6.8
CVE-2010-2204,2010-06,2010-06,9.3
CVE-2010-2205,2010-06,2010-06,9.3
CVE-2010-2206,2010-06,2010-06,9.3
CVE-2010-2207,2010-06,2010-06,9.3
CVE-2010-2208,2010-06,2010-06,9.3
CVE-2010-2209,2010-06,2010-06,9.3
CVE-2010-2210,2010-06,2010-06,9.3
CVE-2010-2211,2010-06,2010-06,9.3
CVE-2010-2212,2010-06,2010-06,9.3
CVE-2010-2213,2010-06,2010-08,9.3
CVE-2010-2214,2010-06,2010-08,9.3
CVE-2010-2215,2010-06,2010-08,4.3
CVE-2010-2216,2010-06,2010-08,9.3
CVE-2010-2862,2010-07,2010-08,9.3
CVE-2010-2883,2010-07,2010-09,9.3
CVE-2010-2884,2010-07,2010-09,9.3
CVE-2010-2887,2010-07,2010-10,9.3
CVE-2010-2888,2010-07,2010-10,9.3
CVE-2010-2889,2010-07,2010-10,9.3
CVE-2010-2890,2010-07,2010-10,9.3
CVE-2010-3619,2010-09,2010-10,9.3
CVE-2010-3620,2010-09,2010-10,9.3
CVE-2010-3621,2010-09,2010-10,9.3
CVE-2010-3622,2010-09,2010-10,9.3
CVE-2010-3623,2010-09,2010-10,9.3
CVE-2010-3624,2010-09,2010-10,9.3
CVE-2010-3625,2010-09,2010-10,9.3
CVE-2010-3626,2010-09,2010-10,9.3
CVE-2010-3627,2010-09,2010-10,9.3
CVE-2010-3628,2010-09,2010-10,9.3
CVE-2010-3629,2010-09,2010-10,9.3
CVE-2010-3630,2010-09,2010-10,9.3
CVE-2010-3631,2010-09,2010-10,9.3
CVE-2010-3632,2010-09,2010-10,9.3
CVE-2010-3636,2010-09,2010-11,9.3
CVE-2010-3637,2010-09,2010-11,9.3
CVE-2010-3638,2010-09,2010-11,4.3
CVE-2010-3639,2010-09,2010-11,9.3
CVE-2010-3640,2010-09,2010-11,9.3
CVE-2010-3641,2010-09,2010-11,9.3
CVE-2010-3642,2010-09,2010-11,9.3
CVE-2010-3643,2010-09,2010-11,9.3
CVE-2010-3644,2010-09,2010-11,9.3
CVE-2010-3645,2010-09,2010-11,9.3
CVE-2010-3646,2010-09,2010-11,9.3
CVE-2010-3647,2010-09,2010-11,9.3
CVE-2010-3648,2010-09,2010-11,9.3
CVE-2010-3649,2010-09,2010-11,9.3
CVE-2010-3650,2010-09,2010-11,9.3
CVE-2010-3652,2010-09,2010-11,9.3
CVE-2010-3654,2010-09,2010-10,9.3
CVE-2010-3656,2010-09,2010-10,4.3
CVE-2010-3657,2010-09,2010-10,4.3
CVE-2010-3658,2010-09,2010-10,9.3
CVE-2010-3976,2010-10,2010-10,9.3
CVE-2010-4091,2010-10,2010-11,9.3
CVE-2015-0204,2014-11,2015-01,4.3
CVE-2015-0301,2014-12,2015-01,10
CVE-2015-0302,2014-12,2015-01,5
CVE-2015-0303,2014-12,2015-01,10
CVE-2015-0304,2014-12,2015-01,10
CVE-2015-0305,2014-12,2015-01,9.3
CVE-2015-0306,2014-12,2015-01,10
CVE-2015-0307,2014-12,2015-01,8.5
CVE-2015-0308,2014-12,2015-01,10
CVE-2015-0309,2014-12,2015-01,10
CVE-2015-0310,2014-12,2015-01,10
CVE-2015-0311,2014-12,2015-01,10
CVE-2015-0312,2014-12,2015-01,10
CVE-2015-0313,2014-12,2015-02,10
CVE-2015-0314,2014-12,2015-02,10
CVE-2015-0315,2014-12,2015-02,10
CVE-2015-0316,2014-12,2015-02,10
CVE-2015-0317,2014-12,2015-02,10
CVE-2015-0318,2014-12,2015-02,10
CVE-2015-0319,2014-12,2015-02,10
CVE-2015-0320,2014-12,2015-02,10
CVE-2015-0321,2014-12,2015-02,10
CVE-2015-0322,2014-12,2015-02,10
CVE-2015-0323,2014-12,2015-02,10
CVE-2015-0324,2014-12,2015-02,10
CVE-2015-0325,2014-12,2015-02,10
CVE-2015-0326,2014-12,2015-02,10
CVE-2015-0327,2014-12,2015-02,10
CVE-2015-0328,2014-12,2015-02,10
CVE-2015-0329,2014-12,2015-02,10
CVE-2015-0330,2014-12,2015-02,10
CVE-2015-0331,2014-12,2015-02,10
CVE-2015-0332,2014-12,2015-03,10
CVE-2015-0333,2014-12,2015-03,10
CVE-2015-0334,2014-12,2015-03,9.3
CVE-2015-0335,2014-12,2015-03,10
CVE-2015-0336,2014-12,2015-03,9.3
CVE-2015-0337,2014-12,2015-03,5
CVE-2015-0338,2014-12,2015-03,10
CVE-2015-0339,2014-12,2015-03,10
CVE-2015-0340,2014-12,2015-03,5
CVE-2015-0341,2014-12,2015-03,10
CVE-2015-0342,2014-12,2015-03,10
CVE-2015-0346,2014-12,2015-04,10
CVE-2015-0347,2014-12,2015-04,10
CVE-2015-0348,2014-12,2015-04,10
CVE-2015-0349,2014-12,2015-04,10
CVE-2015-0350,2014-12,2015-04,10
CVE-2015-0351,2014-12,2015-04,10
CVE-2015-0352,2014-12,2015-04,10
CVE-2015-0353,2014-12,2015-04,10
CVE-2015-0354,2014-12,2015-04,10
CVE-2015-0355,2014-12,2015-04,10
CVE-2015-0356,2014-12,2015-04,10
CVE-2015-0357,2014-12,2015-04,5
CVE-2015-0358,2014-12,2015-04,10
CVE-2015-0359,2014-12,2015-04,10
CVE-2015-0360,2014-12,2015-04,10
CVE-2015-0383,2014-12,2015-01,5.4
CVE-2015-0395,2014-12,2015-01,9.3
CVE-2015-0400,2014-12,2015-01,5
CVE-2015-0403,2014-12,2015-01,6.9
CVE-2015-0406,2014-12,2015-01,5.8
CVE-2015-0407,2014-12,2015-01,5
CVE-2015-0408,2014-12,2015-01,10
CVE-2015-0410,2014-12,2015-01,5
CVE-2015-0412,2014-12,2015-01,7.2
CVE-2015-0413,2014-12,2015-01,1.9
CVE-2015-0421,2014-12,2015-01,6.9
CVE-2015-0437,2014-12,2015-01,9.3
CVE-2015-0458,2014-12,2015-04,7.6
CVE-2015-0459,2014-12,2015-04,10
CVE-2015-0460,2014-12,2015-04,9.3
CVE-2015-0469,2014-12,2015-04,10
CVE-2015-0470,2014-12,2015-04,4.3
CVE-2015-0477,2014-12,2015-04,4.3
CVE-2015-0478,2014-12,2015-04,4.3
CVE-2015-0480,2014-12,2015-04,5.8
CVE-2015-0484,2014-12,2015-04,6.8
