product,version,update,release_date,advisory
air,1,*,2008-02,*
air,1.0.1,*,2008-04,APSB08-11
air,1.1,*,2008-05,*
air,1.5,*,2008-10,APSB08-18
air,1.5,*,2008-11,APSB08-22
air,1.5,*,2008-11,APSB08-20
air,1.5.1,*,2009-02,APSB09-01
air,1.5.2,*,2009-07,APSB09-10
air,1.5.3,*,2009-12,APSB09-19
air,1.5.3.9120,*,2010-01,*
air,1.5.3.9130,*,2010-02,APSB10-06
air,2,*,2010-06,*
air,2.0.2.12610,*,2010-06,APSB10-14
air,2.0.3,*,2010-08,APSB10-16
air,2.0.4,*,2010-09,APSB10-22
air,2.5,*,2010-10,APSB10-22
air,2.5.1,*,2010-11,APSB10-26
air,2.6,*,2011-03,APSB11-05
air,2.6.19120,*,2011-04,*
air,2.6.19140,*,2011-04,APSB11-07
air,2.7,*,2011-05,*
air,2.7.0.1948,*,2011-05,APSB11-12
air,2.7.0.1948,*,2011-06,APSB11-13
air,2.7.1,*,2011-08,APSB11-21
air,3,*,2011-10,*
air,3.1.0.4880,*,2011-11,APSB11-28
air,3.2.0.2070,*,2012-03,APSB12-07
air,3.3.0.3610,*,2012-06,APSB12-14
air,3.3.0.3650,*,2012-06,APSB12-14
air,3.3,*,2012-08,*
air,3.3.0.3690,*,2012-08,*
air,3.4.0.2540,*,2012-08,APSB12-19
air,3.4.0.2710,*,2012-10,APSB12-22
air,3.5,*,2012-11,*
air,3.5.0.600,*,2012-11,APSB12-24
air,3.5.0.880,*,2012-12,APSB12-27
air,3.5.0.1060,*,2013-01,APSB13-01
air,3.6,*,2013-02,*
air,3.6.0.597,*,2013-02,APSB13-04
air,3.6.0.597,*,2013-02,APSB13-05
air,3.6.0.599,*,2013-02,APSB13-05
air,3.6.0.6090,*,2013-03,APSB13-09
air,3.7.0.1530,*,2013-04,APSB13-11
air,3.7.0.1860,*,2013-05,APSB13-14
air,3.7.0.2090,*,2013-06,APSB13-16
air,3.7,*,2013-06,*
air,3.8.0.870,*,2013-07, APSB13-17
air,3.8.0.1280,*,2013-08,
air,3.8.0.1430,*,2013-09,APSB13-21
air,3.8,*,2013-09,*
air,3.9.0.1030,*,2013-10,*
air,3.9.0.1210,*,2013-11,APSB13-26
air,3.9,*,2013-12,*
air,3.9.0.1380,*,2013-12,APSB13-28
air,4,*,2014-01,*
air,4.0.0.1390,*,2014-01,APSB14-02
air,4.0.0.1628,*,2014-02,APSB14-07
air,13,*,2014-04,*
air,13.0.0.83,*,2014-04,APSB14-09
air,13.0.0.111,*,2014-05,APSB14-14
air,14,*,2014-06,*
air,14.0.0.110,*,2014-06,APSB14-16
air,14.0.0.137,*,2014-07,APSB14-17
air,14.0.0.178,*,2014-08,APSB14-18
air,15.0.0.249,*,2014-09,APSB14-21
air,15.0.0.302,*,2014-10,APSB14-22
air,15.0.0.293,*,2014-10,APSB14-22
air,15.0.0.356,*,2014-11,APSB14-24
air,16,*,2015-01,*
air,16.0.0.245,*,2015-01,APSB15-01
air,16.0.0.273,*,2015-02,*
air,16.0.0.292,*,2015-02,*
air,17.0.0.124,*,2015-03,*
air,17.0.0.144,*,2015-03,APSB15-05
air,17.0.0.172,*,2015-04,APSB15-06
air,17.0.0.172,*,2015-05,APSB15-09
air,18.0.0.144,*,2015-06,APSB15-11
air,18.0.0.180,*,2015-07,APSB15-16
air,18.0.0.199,*,2015-08,APSB15-19
air,19.0.0.190,*,2015-09,APSB15-23
air,19.0.0.213,*,2015-10,APSB15-25
air,19.0.0.241,*,2015-11,APSB15-28
air,20.0.0.204,*,2015-12,APSB15-32
air,20.0.0.233,*,2015-12,APSB16-01
air,20.0.0.260,*,2016-02,APSB16-04
air,21.0.0.176,*,2016-03,APSB16-08
air,21.0.0.198,*,2016-04,*
air,21.0.0.215,*,2016-05,APSB16-15
air,22.0.0.153,*,2016-06,APSB16-23
air,23.0.0.257,*,2016-09,APSB16-31
air,24.0.0.180,*,2016-12,*
air,25.0.0.134,*,2017-03,*
air,26.0.0.118,*,2017-06,*
air,26.0.0.127,*,2017-07,*
air,27.0.0.124,*,2017-09,*
air,27.0.0.132,*,2017-10,*
air,28.0.0.125,*,2017-12,*
air,28.0.0.127,*,2017-12,*
air,29.0.0.112,*,2018-03,*
air,29.0.0.122,*,2018-04,*
air,30.0.0.107,*,2018-06,*
air,31.0.0.96,*,2018-09,*
air,32.0.0.89,*,2018-12,*
air,32.0.0.116,*,2019-04,*
air,32.0.0.125,*,2019-04,*
air,33.0.2.338,*,2019-12,*
air,33.1.0.43,*,2020-02,*
