"APT","country","campaign","vulnerability","exploited_time","reserved_time","published_time"
"PittyTiger","China","299198","CVE-2014-1761","2014-05-01","2014-01-01","2014-03-01"
"PittyTiger","China","299198","CVE-2012-0158","2014-05-01","2011-12-01","2012-04-01"
"Scarlet Mimic","China","298854","CVE-2012-4969","2013-08-01","2012-09-01","2012-09-01"
"Scarlet Mimic","China","298853","CVE-2012-0158","2013-01-01","2011-12-01","2012-04-01"
"Scarlet Mimic","China","298853","CVE-2010-3333","2013-01-01","2010-09-01","2010-11-01"
"Scarlet Mimic","China","298853","CVE-2010-2572","2013-01-01","2010-06-01","2010-11-01"
"Scarlet Mimic","China","298853","CVE-2010-2883","2013-01-01","2010-07-01","2010-09-01"
"Scarlet Mimic","China","298853","CVE-2009-3129","2013-01-01","2009-09-01","2009-11-01"
"Leviathan","China","299164","CVE-2017-8759","2017-09-01","2017-05-01","2017-09-01"
"Leviathan","China","299165","CVE-2017-0199","2017-08-01","2016-09-01","2017-04-01"
"Leviathan","China","299167","CVE-2017-11882","2018-01-01","2017-07-01","2017-11-01"
"Elderwood","China","299122","CVE-2010-3962","2010-11-01","2010-10-01","2010-11-01"
"APT41","China","299081","CVE-2020-10189","2020-03-01","2016-09-01","2020-03-01"
"APT41","China","299079","CVE-2019-3396","2019-04-01","2018-12-01","2019-03-01"
"menuPass","China","299179","CVE-2017-11882","2017-07-01","2017-07-01","2017-11-01"
"menuPass","China","299179","CVE-2017-8759","2017-07-01","2017-05-01","2017-09-01"
"Lotus Blossom","China","299172","CVE-2014-6332","2015-11-01","2014-09-01","2014-11-01"
"Lotus Blossom","China","299170","CVE-2012-0158","2014-11-01","2011-12-01","2012-04-01"
"Lotus Blossom","China","299171","CVE-2017-11882","2018-01-01","2017-07-01","2017-11-01"
"APT19","China","298742","CVE-2015-0071","2014-11-01","2014-11-01","2015-02-01"
"APT19","China","298742","CVE-2014-9163","2014-11-01","2014-12-01","2014-12-01"
"APT19","China","298744","CVE-2017-0199","2017-04-01","2016-09-01","2017-04-01"
"Rancor","China","298842","CVE-2018-0798","2017-12-01","2017-12-01","2018-01-01"
"APT12","China","298728","CVE-2016-0189","2016-11-01","2015-12-01","2016-05-01"
"APT12","China","298728","CVE-2015-0116","2016-11-01","2014-11-01","2015-06-01"
"APT12","China","298727","CVE-2011-0609","2011-02-01","2011-01-01","2011-03-01"
"APT12","China","298731","CVE-2011-0611","2011-04-01","2011-01-01","2011-04-01"
"APT12","China","298729","CVE-2013-5990","2013-09-01","2013-10-01","2013-11-01"
"APT12","China","298730","CVE-2012-0158","2014-08-01","2011-12-01","2012-04-01"
"Naikon","China","299183","CVE-2012-0158","2014-03-01","2011-12-01","2012-04-01"
"Naikon","China","299182","CVE-2012-0158","2012-10-01","2011-12-01","2012-04-01"
"Naikon","China","299182","CVE-2010-3333","2012-10-01","2010-09-01","2010-11-01"
"admin@338","China","298726","CVE-2009-4324","2009-12-01","2009-12-01","2009-12-01"
"admin@338","China","298725","CVE-2012-0158","2015-08-01","2011-12-01","2012-04-01"
"admin@338","China","298724","CVE-2012-0158","2013-10-01","2011-12-01","2012-04-01"
"Threat Group-3390","China","298873","CVE-2008-1436","2010-04-01","2008-03-01","2008-04-01"
"Threat Group-3390","China","298875","CVE-2015-5123","2015-08-01","2015-06-01","2015-07-01"
"Threat Group-3390","China","298875","CVE-2015-5119","2015-08-01","2015-06-01","2015-07-01"
"Threat Group-3390","China","298875","CVE-2010-0738","2015-08-01","2010-02-01","2010-04-01"
"Threat Group-3390","China","298875","CVE-2014-6324","2015-08-01","2014-09-01","2014-11-01"
"Threat Group-3390","China","298875","CVE-2011-3544","2015-08-01","2011-09-01","2011-10-01"
"Threat Group-3390","China","298877","CVE-2017-11882","2017-10-01","2017-07-01","2017-11-01"
"Threat Group-3390","China","298878","CVE-2019-0604","2019-04-01","2018-11-01","2019-03-01"
"Threat Group-3390","China","298878","CVE-2017-0144","2019-04-01","2016-09-01","2017-03-01"
"APT18","China","298739","CVE-2015-5119","2015-07-01","2015-06-01","2015-07-01"
"APT18","China","298740","CVE-2015-5122","2015-07-01","2015-06-01","2015-07-01"
"Winnti Group","China","298894","CVE-2017-0199","2017-07-01","2016-09-01","2017-04-01"
"Winnti Group","China","298890","CVE-2013-0634","2013-04-01","2012-12-01","2013-02-01"
"Winnti Group","China","298891","CVE-2013-3906","2013-10-01","2013-06-01","2013-11-01"
"Winnti Group","China","298897","CVE-2017-11882","2019-03-01","2017-07-01","2017-11-01"
"TA459","China","298869","CVE-2017-0199","2017-04-01","2016-09-01","2017-04-01"
"APT16","China","298732","CVE-2015-1701","2015-11-01","2015-02-01","2015-04-01"
"APT16","China","298732","CVE-2015-2545","2015-11-01","2015-03-01","2015-09-01"
"Taidoor","China","299215","CVE-2014-1761","2014-03-01","2014-01-01","2014-03-01"
"Taidoor","China","299217","CVE-2012-1535","2012-09-01","2012-03-01","2012-08-01"
"Taidoor","China","299216","CVE-2013-3906","2013-11-01","2013-06-01","2013-11-01"
"Taidoor","China","299213","CVE-2009-3129","2011-10-01","2009-09-01","2009-11-01"
"Taidoor","China","299213","CVE-2010-3333","2011-10-01","2010-09-01","2010-11-01"
"Taidoor","China","299213","CVE-2011-0611","2011-10-01","2011-01-01","2011-04-01"
"Taidoor","China","299214","CVE-2011-0611","2011-06-01","2011-01-01","2011-04-01"
"Taidoor","China","299214","CVE-2010-3333","2011-06-01","2010-09-01","2010-11-01"
"Taidoor","China","299214","CVE-2009-4324","2011-06-01","2009-12-01","2009-12-01"
"Putter Panda","China","298839","CVE-2012-0158","2017-02-01","2011-12-01","2012-04-01"
"Suckfly","China","298868","CVE-2014-6332","2014-04-01","2014-09-01","2014-11-01"
"APT17","China","298738","CVE-2014-7247","2014-11-01","2014-09-01","2014-11-01"
"APT17","China","298733","CVE-2013-3893","2013-08-01","2013-06-01","2013-09-01"
"APT17","China","298734","CVE-2013-3918","2013-10-01","2013-06-01","2013-11-01"
"APT17","China","298735","CVE-2014-0324","2014-02-01","2013-12-01","2014-03-01"
"APT3","China","298766","CVE-2019-0703","2018-09-01","2018-11-01","2019-04-01"
"APT3","China","298765","CVE-2015-5119","2015-07-01","2015-06-01","2015-07-01"
"APT3","China","298764","CVE-2015-3113","2015-06-01","2015-04-01","2015-06-01"
"APT3","China","298763","CVE-2014-4113","2014-11-01","2014-06-01","2014-10-01"
"APT3","China","298763","CVE-2014-6332","2014-11-01","2014-09-01","2014-11-01"
"APT3","China","298762","CVE-2014-1776","2014-04-01","2014-01-01","2014-04-01"
"APT3","China","298767","CVE-2017-0143","2016-03-01","2016-09-01","2017-03-01"
"PLATINUM","China","299201","CVE-2015-2546","2015-08-01","2015-03-01","2015-09-01"
"PLATINUM","China","299201","CVE-2015-2545","2015-08-01","2015-03-01","2015-09-01"
"PLATINUM","China","299199","CVE-2013-7331","2013-05-01","2014-02-01","2014-02-01"
"PLATINUM","China","299199","CVE-2013-1331","2013-05-01","2013-01-01","2013-06-01"
"Ke3chang","China","299154","CVE-2010-2883","2012-01-01","2010-07-01","2010-09-01"
"Ke3chang","China","299154","CVE-2010-3333","2012-01-01","2010-09-01","2010-11-01"
"Ke3chang","China","299155","CVE-2015-2545","2012-03-01","2015-03-01","2015-09-01"
"Ke3chang","China","299153","CVE-2012-4681","2012-08-01","2012-08-01","2012-08-01"
