product,version,update,release_date,advisory
flash_player,9.0.124.0,*,2008-04,APSB08-11
flash_player,9.0.151.0,*,2008-11,APSB08-18
flash_player,10.0.12.36,*,2008-11,APSB08-20
flash_player,10.0.22.87,*,2009-02,APSB09-01
flash_player,10.0.32.18,*,2009-07,APSB09-10
flash_player,10.0.42.34,*,2009-12,APSB09-19
flash_player,10.0.45.2,*,2010-02,APSB10-06
flash_player,10.1.53.64,*,2010-06,APSB10-14
flash_player,10.1.82.76,*,2010-08,APSB10-16
flash_player,10.1.85.3,*,2010-09,APSB10-22
flash_player,10.1.102.64,*,2010-11,APSB10-26
flash_player,10.2.152.26,*,1011-02,APSB11-02
flash_player,10.2.152.32,*,2011-02,
flash_player,10.2.153.1,*,2011-03,APSB11-05
flash_player,10.2.159.1,*,2011-04,APSB11-07
flash_player,10.3.181.14,*,2011-04,APSB11-12
flash_player,10.3.181.16,*,2011-05,
flash_player,10.3.181.22,*,2011-06,APSB11-13
flash_player,10.3.181.26,*,2011-06,APSB11-18
flash_player,10.3.181.34,*,2011-06,
flash_player,10.3.181.36,*,2011-07,
flash_player,10.3.183.5,*,2011-08,APSB11-21
flash_player,10.3.183.7,*,2011-08,
flash_player,10.3.183.10,*,2011-09,APSB11-26
flash_player,11.0.1.152,*,2011-10,
flash_player,10.3.183.11,*,2011-11,APSB11-28
flash_player,11.1.102.55,*,2011-11,APSB11-28
flash_player,11.1.102.62,*,2012-02,APSB12-03
flash_player,10.3.183.15,*,2012-02,APSB12-03
flash_player,11.1.102.63,*,2012-03,APSB12-05
flash_player,10.3.183.16,*,2012-03,APSB12-05
flash_player,10.3.183.18,*,2012-03,APSB12-07
flash_player,11.2.202.228,*,2012-03,APSB12-07
flash_player,11.2.202.235,*,2012-05,APSB12-09
flash_player,10.3.183.19,*,2012-05,APSB12-09
flash_player,11.3.300.257,*,2012-06,APSB12-14
flash_player,10.3.183.20,*,2012-06,
flash_player,11.3.300.262,*,2012-06,
flash_player,11.3.300.268,*,2012-07,
flash_player,11.3.300.270,*,2012-07,
flash_player,11.3.300.271,*,2012-08,APSB12-18
flash_player,10.3.183.23,*,2012-08,APSB12-19
flash_player,11.4.402.265,*,2012-08,APSB12-19
flash_player,10.3.183.25,*,2012-09,
flash_player,11.4.402.278,*,2012-09,
flash_player,11.4.402.287,*,2012-10,APSB12-22
flash_player,11.3.300.273,*,2012-10,
flash_player,10.3.183.29,*,2012-10,APSB12-22
flash_player,11.5.502.110,*,2012-11,APSB12-24
flash_player,10.3.183.43,*,2012-11,APSB12-24
flash_player,11.5.502.135,*,2012-12,APSB12-27
flash_player,10.3.183.48,*,2012-12,APSB12-27
flash_player,11.5.502.146,*,2013-01,APSB13-01
flash_player,10.3.183.50,*,2013-01,APSB13-01
flash_player,11.5.502.149,*,2013-02,APSB13-04
flash_player,10.3.183.51,*,2013-02,APSB13-04
flash_player,11.6.602.168,*,2013-02,APSB13-05
flash_player,10.3.183.63,*,2013-02,APSB13-05
flash_player,11.6.602.171,*,2013-02,APSB13-08
flash_player,10.3.183.67,*,2013-02,APSB13-08
flash_player,11.6.602.180,*,2013-03,APSB13-09
flash_player,10.3.183.68,*,2013-03,APSB13-09
flash_player,11.7.700.169,*,2013-04,APSB13-11
flash_player,10.3.183.75,*,2013-04,APSB13-11
flash_player,11.7.700.202,*,2013-05,APSB13-14
flash_player,10.3.183.86,*,2013-05,APSB13-14
flash_player,11.7.700.224,*,2013-06,APSB13-16
flash_player,10.3.183.90,*,2013-06,APSB13-16
flash_player,11.8.800.94,*,2013-07,APSB13-17
flash_player,11.7.700.232,*,2013-07,APSB13-17
