product,version,update,release_date,advisory
office,2016-*,4484221,2020-01,CVE-2020-0652
office,2016-*,4484221,2020-01,CVE-2020-0652
office,2016-*,4484182,2019-12,CVE-2019-1464
office,2016-*,4484182,2019-12,CVE-2019-1464
office,2016-*,4484180,2019-12,CVE-2019-1463
office,2016-*,4484180,2019-12,CVE-2019-1463
office,2016-*,4484180,2019-12,CVE-2019-1400
office,2016-*,4484180,2019-12,CVE-2019-1400
office,2016-*,4484148,2019-11,CVE-2019-1446
office,2016-*,4484148,2019-11,CVE-2019-1446
office,2016-*,4484113,2019-11,CVE-2019-1402
office,2016-*,4484113,2019-11,CVE-2019-1402
office,2016-*,4475554,2019-10,CVE-2019-1331
office,2016-*,4475554,2019-10,CVE-2019-1331
office,2016-*,4475591,2019-09,CVE-2019-1246
office,2016-*,4475591,2019-09,CVE-2019-1246
office,2016-*,4475583,2019-09,CVE-2019-1264
office,2016-*,4475583,2019-09,CVE-2019-1264
office,2016-*,4475538,2019-08,CVE-2019-1155
office,2016-*,4475538,2019-08,CVE-2019-1155
office,2016-*,4461539,2019-07,CVE-2019-1111
office,2016-*,4461539,2019-07,CVE-2019-1111
office,2016-*,4464534,2019-07,CVE-2019-1109
office,2016-*,4464534,2019-07,CVE-2019-1109
office,2016-*,4475514,2019-07,CVE-2019-1084
office,2016-*,4475514,2019-07,CVE-2019-1084
office,2016-*,4464551,2019-05,CVE-2019-0945
office,2016-*,4464551,2019-05,CVE-2019-0945
office,2016-*,4464551,2019-05,CVE-2019-0946
office,2016-*,4464551,2019-05,CVE-2019-0946
office,2016-*,4462213,2019-04,CVE-2019-0827
office,2016-*,4462213,2019-04,CVE-2019-0827
office,2016-*,4462213,2019-04,CVE-2019-0826
office,2016-*,4462213,2019-04,CVE-2019-0826
office,2016-*,4462213,2019-04,CVE-2019-0825
office,2016-*,4462213,2019-04,CVE-2019-0825
office,2016-*,4462213,2019-04,CVE-2019-0824
office,2016-*,4462213,2019-04,CVE-2019-0824
office,2016-*,4462242,2019-04,CVE-2019-0801
office,2016-*,4462242,2019-04,CVE-2019-0801
office,2016-*,4018294,2019-02,CVE-2019-0672
office,2016-*,4018294,2019-02,CVE-2019-0672
office,2016-*,4462146,2019-02,CVE-2019-0540
office,2016-*,4462146,2019-02,CVE-2019-0540
office,2016-*,4018294,2019-02,CVE-2019-0674
office,2016-*,4018294,2019-02,CVE-2019-0674
office,2016-*,4018294,2019-02,CVE-2019-0673
office,2016-*,4018294,2019-02,CVE-2019-0673
office,2016-*,4018294,2019-02,CVE-2019-0671
office,2016-*,4018294,2019-02,CVE-2019-0671
office,2016-*,4461535,2019-01,CVE-2019-0560
office,2016-*,4461535,2019-01,CVE-2019-0560
office,2016-*,4018294,2019-01,CVE-2019-0582
office,2016-*,4018294,2019-01,CVE-2019-0582
office,2016-*,4022162,2019-01,CVE-2019-0541
office,2016-*,4022162,2019-01,CVE-2019-0541
office,2016-*,4022232,2018-11,CVE-2018-8577
office,2016-*,4022232,2018-11,CVE-2018-8577
office,2016-*,4461437,2018-10,CVE-2018-8504
office,2016-*,4461437,2018-10,CVE-2018-8504
office,2016-*,4461437,2018-10,CVE-2018-8502
office,2016-*,4461437,2018-10,CVE-2018-8502
office,2016-*,4461437,2018-10,CVE-2018-8501
office,2016-*,4461437,2018-10,CVE-2018-8501
office,2016-*,4032233,2018-08,CVE-2018-8378
office,2016-*,4032233,2018-08,CVE-2018-8378
office,2016-*,4022177,2018-06,CVE-2018-8248
office,2016-*,4022177,2018-06,CVE-2018-8248
office,2016-*,4018327,2018-05,CVE-2018-8158
