product,version,update,release_date,advisory
acrobat_reader,8.1.1,*,2007-10,APSB07-18
acrobat_reader,8.1.2,*,2008-02,APSA08-01
acrobat_reader,8.1.2,*,2008-05,APSB08-13
acrobat_reader,8.1.2 su1,*,2008-06,APSB08-15
acrobat_reader,9,*,2008-06,NULL
acrobat_reader,8.1.3,*,2008-11,APSB08-19
acrobat_reader,8.1.4,*,2009-03,APSB09-04
acrobat_reader,9.1,*,2009-03,APSB09-04
acrobat_reader,9.1.1,*,2009-05,APSB09-06
acrobat_reader,8.1.5,*,2009-05,APSB09-06
acrobat_reader,8.1.6,*,2009-06,APSB09-07
acrobat_reader,9.1.2,*,2009-06,APSB09-07
acrobat_reader,9.1.3,*,2009-07,APSB09-10
acrobat_reader,8.1.7,*,2009-10,APSB09-15
acrobat_reader,9.2,*,2009-10,APSB09-15
acrobat_reader,8.2,*,2010-01,APSB10-02
acrobat_reader,9.3,*,2010-01,APSB10-02
acrobat_reader,8.2.1,*,2010-02,APSB10-07
acrobat_reader,9.3.1,*,2010-02,APSB10-07
acrobat_reader,8.2.2,*,2010-04,APSB10-09
acrobat_reader,9.3.2,*,2010-04,APSB10-09
acrobat_reader,8.2.3,*,2010-06,APSB10-15
acrobat_reader,9.3.3,*,2010-06,APSB10-15
acrobat_reader,8.2.4,*,2010-08,APSB10-17
acrobat_reader,9.3.4,*,2010-08,APSB10-17
acrobat_reader,9.4,*,2010-10,APSB10-21
acrobat_reader,8.2.5,*,2010-10,APSB10-21
acrobat_reader,9.4.1,*,2010-11,APSA10-05
acrobat_reader,9.4.1,*,2010-11,APSB10-28
acrobat_reader,9.4.2,*,2011-02,APSB11-03
acrobat_reader,8.2.6,*,2011-02,APSB11-03
acrobat_reader,9.4.3,*,2011-03,APSA11-01
acrobat_reader,9.4.4,*,2011-04,APSA11-02
acrobat_reader,9.4.5,*,2011-06,APSB11-16
acrobat_reader,8.3,*,2011-06,APSB11-16
acrobat_reader,9.4.6,*,2011-09,APSB11-24
acrobat_reader,8.3.1,*,2011-09,APSB11-24
acrobat_reader,9.4.7,*,2011-12,APSB11-30
acrobat_reader,9.5,*,2012-01,APSB12-01
acrobat_reader,9.5.1,*,2012-04,APSB12-08
acrobat_reader,9.5.2,*,2012-08,APSB12-16
acrobat_reader,9.5.3,*,2013-01,APSB13-02
acrobat_reader,9.5.4,*,2013-02,APSB13-07
acrobat_reader,9.5.5,*,2013-05,APSB13-15
acrobat_reader,10.1.16,*,2015-10,APSB15-24
acrobat_reader,10.1.15,*,2015-07,APSB15-15
acrobat_reader,10.1.14,*,2015-05,APSB15-10
acrobat_reader,10.1.13,*,2014-12,APSB14-28
acrobat_reader,10.1.12,*,2014-09,APSB14-20
acrobat_reader,10.1.11,*,2014-08,APSB14-19
acrobat_reader,10.1.10,*,2014-05,APSB14-15
acrobat_reader,10.1.9,*,2014-01,APSB14-01
acrobat_reader,10.1.8,*,2013-09,APSB13-22
acrobat_reader,10.1.7,*,2013-05,APSB13-15
acrobat_reader,10.1.6,*,2013-02,APSB13-07
acrobat_reader,10.1.5,*,2013-01,APSB13-02
acrobat_reader,10.1.4,*,2012-08,APSB12-16
acrobat_reader,10.1.3,*,2012-04,APSB12-08
acrobat_reader,10.1.2,*,2012-01,APSB12-01
acrobat_reader,10.1.1,*,2011-09,APSB11-24
acrobat_reader,10.1,*,2011-06,APSB11-16
acrobat_reader,10.0.3,*,2011-04,APSA11-02
acrobat_reader,10.0.2,*,2011-03,APSB11-06
acrobat_reader,10.0.1,*,2011-02,APSB11-03
acrobat_reader,10,*,2010-11,NULL
acrobat_reader,11,*,2012-10,NULL
acrobat_reader,11.0.01,*,2013-01,APSB13-02
acrobat_reader,11.0.02,*,2013-02,APSB13-07
acrobat_reader,11.0.03,*,2013-05,APSB13-15
acrobat_reader,11.0.04,*,2013-09,APSB13-22
acrobat_reader,11.0.05,*,2013-10,APSB13-25
acrobat_reader,11.0.06,*,2014-01,APSB14-01
acrobat_reader,11.0.07,*,2014-05,APSB14-15
acrobat_reader,11.0.08,*,2014-08,APSB14-19
acrobat_reader,11.0.09,*,2014-09,APSB14-20
acrobat_reader,11.0.10,*,2014-12,APSB14-28
acrobat_reader,11.0.11,*,2015-05,APSB15-10
acrobat_reader,11.0.12,*,2015-07,APSB15-15
acrobat_reader,11.0.13,*,2015-10,APSB15-24
acrobat_reader,11.0.14,*,2016-01,APSB16-02
acrobat_reader,11.0.15,*,2016-03,APSB16-09
acrobat_reader,11.0.16,*,2016-05,APSB16-14
acrobat_reader,11.0.17,*,2016-07,APSB16-26
acrobat_reader,11.0.18,*,2016-10,APSB16-33
acrobat_reader,11.0.19,*,2017-01,APSB17-01
acrobat_reader,11.0.20,*,2017-04,APSB17-11
acrobat_reader,11.0.21,*,2017-08,APSB17-24
acrobat_reader,11.0.22,*,2017-08,NULL
acrobat_reader,11.0.23,*,2017-11,APSB17-36
acrobat_reader,15,*,2015-04,NULL
acrobat_reader,15.006.30060,*,2015-07,APSB15-15
acrobat_reader,15.006.30094,*,2015-10,NULL
acrobat_reader,15.009.20069,*,2015-10,APSB15-24
acrobat_reader,15.006.30121,*,2016-03,APSB16-09
acrobat_reader,15.006.30096,*,2015-10,NULL
acrobat_reader,15.006.30097,*,2015-11,NULL
acrobat_reader,15.006.30119,*,2016-01,APSB16-02
acrobat_reader,15.006.30172,*,2016-05,APSB16-14
acrobat_reader,15.006.30173,*,2016-05,NULL
acrobat_reader,15.006.30174,*,2016-06,NULL
acrobat_reader,15.006.30198,*,2016-07,APSB16-26
acrobat_reader,15.006.30201,*,2016-08,NULL
acrobat_reader,15.006.30243,*,2016-10,APSB16-33
acrobat_reader,15.006.30244,*,2016-11,NULL
acrobat_reader,15.006.30279,*,2017-01,APSB17-01
acrobat_reader,15.006.30280,*,2017-01,NULL
acrobat_reader,15.006.30306,*,2017-04,APSB17-11
acrobat_reader,15.006.30352,*,2017-08,APSB17-24
acrobat_reader,15.006.30354,*,2017-08,NULL
acrobat_reader,15.006.30355,*,2017-08,NULL
acrobat_reader,15.006.30392,*,2017-11,APSB17-36
acrobat_reader,15.006.30394,*,2017-12,NULL
acrobat_reader,15.006.30413,*,2018-02,APSB18-02
acrobat_reader,15.006.30417,*,2018-02,NULL
acrobat_reader,15.006.30418,*,2018-05,APSB18-09
acrobat_reader,15.006.30434,*,2018-07,APSB18-21
acrobat_reader,15.006.30448,*,2018-08,APSB18-29
acrobat_reader,15.006.30452,*,2018-09,APSB18-34
acrobat_reader,15.006.30456,*,2018-10,APSB18-30
acrobat_reader,15.006.30457,*,2018-11,APSB18-40
acrobat_reader,15.006.30461,*,2018-12,APSB18-41
acrobat_reader,15.006.30464,*,2019-01,APSB19-02
acrobat_reader,15.006.30475,*,2019-02,APSB19-07
acrobat_reader,15.006.30482,*,2019-02,APSB19-13
acrobat_reader,15.006.30493,*,2019-04,APSB19-17
acrobat_reader,15.006.30495,*,2019-04,NULL
acrobat_reader,15.006.30497,*,2019-05,APSB19-18
acrobat_reader,15.006.30498,*,2019-06,NULL
acrobat_reader,15.006.30499,*,2019-08,APSB19-41
acrobat_reader,15.006.30503,*,2019-08,NULL
acrobat_reader,15.006.30504,*,2019-10,APSB19-49
acrobat_reader,15.006.30505,*,2019-10,NULL
acrobat_reader,15.006.30508,*,2019-12,APSB19-55
acrobat_reader,15.006.30510,*,2020-02,APSB20-05
acrobat_reader,15.006.30518,*,2020-03,APSB20-13
acrobat_reader,15.006.30523,*,2020-05,APSB20-24
acrobat_reader,17,*,2017-06,NULL
acrobat_reader,17.011.30059,*,2017-08,APSB17-24
acrobat_reader,17.011.30065,*,2017-08,NULL
acrobat_reader,17.011.30066,*,2017-08,NULL
acrobat_reader,17.011.30068,*,2017-11,APSB17-36
acrobat_reader,17.011.30070,*,2017-12,NULL
acrobat_reader,17.011.30078,*,2018-02,APSB18-02
acrobat_reader,17.011.30079,*,2018-02,NULL
acrobat_reader,17.011.30080,*,2018-05,APSB18-09
acrobat_reader,17.011.30096,*,2018-07,APSB18-21
acrobat_reader,17.011.30099,*,2018-08,APSB18-29
acrobat_reader,17.011.30102,*,2018-09,APSB18-34
acrobat_reader,17.011.30105,*,2018-10,APSB18-30
acrobat_reader,17.011.30106,*,2018-11,NULL
acrobat_reader,17.011.30110,*,2018-12,APSB18-41
acrobat_reader,17.011.30113,*,2019-01,APSB19-02
acrobat_reader,17.011.30120,*,2019-02,APSB19-07
acrobat_reader,17.011.30127,*,2019-02,APSB19-13
acrobat_reader,17.011.30138,*,2019-04,APSB19-17
acrobat_reader,17.011.30140,*,2019-04,NULL
acrobat_reader,17.011.30142,*,2019-05,APSB19-18
acrobat_reader,17.011.30143,*,2019-06,NULL
acrobat_reader,17.011.30144,*,2019-08,APSB19-41
acrobat_reader,17.011.30148,*,2019-08,NULL
acrobat_reader,17.011.30150,*,2019-10,APSB19-49
acrobat_reader,17.011.30152,*,2019-10,NULL
acrobat_reader,17.011.30156,*,2019-12,APSB19-55
acrobat_reader,17.011.30158,*,2020-02,APSB20-05
acrobat_reader,17.011.30166,*,2020-03,APSB20-13
acrobat_reader,17.011.30171,*,2020-05,APSB20-24
acrobat_reader,20,*,2020-06,NULL
acrobat_reader,15.008.20082,*,2015-07,APSB15-15
acrobat_reader,15.009.20071,*,2015-10,NULL
acrobat_reader,15.009.20077,*,2015-10,NULL
acrobat_reader,15.009.20079,*,2015-11,NULL
acrobat_reader,15.010.20056,*,2016-01,APSB16-02
acrobat_reader,15.010.20059,*,2016-02,NULL
acrobat_reader,15.010.20060,*,2016-03,APSB16-09
acrobat_reader,15.016.20039,*,2016-05,APSB16-14
acrobat_reader,15.016.20041,*,2016-05,NULL
acrobat_reader,15.016.20045,*,2016-06,NULL
acrobat_reader,15.017.20050,*,2016-07,APSB16-26
acrobat_reader,15.017.20053,*,2016-08,NULL
acrobat_reader,15.020.20039,*,2016-10,APSB16-33
acrobat_reader,15.020.20042,*,2016-11,NULL
acrobat_reader,15.023.20053,*,2017-01,APSB17-01
acrobat_reader,15.023.20056,*,2017-01,NULL
acrobat_reader,15.023.20070,*,2017-02,NULL
acrobat_reader,17.009.20044,*,2017-04,APSB17-11
acrobat_reader,17.009.20058,*,2017-07,NULL
acrobat_reader,17.012.20093,*,2017-08,APSB17-24
acrobat_reader,17.012.20095,*,2017-08,NULL
acrobat_reader,17.012.20098,*,2017-08,NULL
acrobat_reader,18.009.20044,*,2017-11,APSB17-36
acrobat_reader,18.009.20050,*,2017-11,NULL
acrobat_reader,18.011.20036,*,2018-02,APSB18-02
acrobat_reader,18.011.20035,*,2018-02,APSB18-02
acrobat_reader,18.011.20038,*,2018-03,NULL
acrobat_reader,18.011.20040,*,2018-05,APSB18-09
acrobat_reader,18.011.20055,*,2018-07,APSB18-21
acrobat_reader,18.011.20058,*,2018-08,APSB18-29
acrobat_reader,18.011.20063,*,2018-09,APSB18-34
acrobat_reader,19.008.20071,*,2018-10,APSB18-30
acrobat_reader,19.008.20074,*,2018-10,NULL
acrobat_reader,19.008.20080,*,2018-10,NULL
acrobat_reader,19.008.20081,*,2018-11,NULL
acrobat_reader,19.010.20064,*,2018-12,APSB18-41
acrobat_reader,19.010.20069,*,2019-01,APSB19-02
acrobat_reader,19.010.20091,*,2019-02,APSB19-07
acrobat_reader,19.010.20098,*,2019-02,APSB19-13
acrobat_reader,19.010.20099,*,2019-04,APSB19-17
acrobat_reader,19.010.20100,*,2019-04,NULL
acrobat_reader,19.012.20034,*,2019-05,APSB19-18
acrobat_reader,19.012.20035,*,2019-06,NULL
acrobat_reader,19.012.20036,*,2019-08,APSB19-41
acrobat_reader,19.012.20040,*,2019-08,NULL
acrobat_reader,19.021.20047,*,2019-10,APSB19-49
acrobat_reader,19.021.20048,*,2019-10,NULL
acrobat_reader,19.021.20049,*,2019-10,NULL
acrobat_reader,19.021.20056,*,2019-11,NULL
acrobat_reader,19.021.20058,*,2019-12,APSB19-55
acrobat_reader,19.021.20061,*,2019-12,NULL
acrobat_reader,20.006.20034,*,2020-02,APSB20-05
acrobat_reader,20.006.20042,*,2020-03,APSB20-13
acrobat_reader,20.009.20063,*,2020-05,APSB20-24
acrobat_reader,20.009.20065,*,2020-05,NULL
acrobat_reader,20.009.20067,*,2020-06,NULL
