name,alias
APT1,Comment Crew
APT1,Comment Group
APT1,Comment Panda
APT1,PLA Unit 61398
APT1,APT 1
APT1,Advanced Persistent Threat 1
APT1,Byzantine Candor
APT1,Group 3
APT1,TG-8223
APT1,Brown Fox
APT1,GIF89a
APT1,ShadyRAT
APT1,Shanghai Group
APT12,IXESHE
APT12,DynCalc
APT12,Numbered Panda
APT12,DNSCALC
APT12,TG-2754
APT12,BeeBus
APT12,Group 22
APT12,Calc Team
APT12,DNSCalc
APT12,Crimson Iron
APT12,APT 12
APT16,SVCMONDR
APT17,Deputy Dog
APT17,APT 17
APT17,Group 8
APT17,Hidden Lynx
APT17,Tailgater Team
APT17,Dogfish
APT17,Winnti Umbrella
APT17,Winnti Group
APT17,WinNTI
APT17,Suckfly
APT17,APT41
APT17,APT 41
APT17,Group 72
APT17,Group72
APT17,Tailgater
APT17,Ragebeast
APT17,Blackfly
APT17,Lead
APT17,Wicked Spider
APT17,Wicked Panda
APT17,Barium
APT18,TG-0416
APT18,Dynamite Panda
APT18,Threat Group-0416
APT18,APT 18
APT18,SCANDIUM
APT18,PLA Navy
APT19,Codoso
APT19,C0d0so0
APT19,Codoso Team
APT19,Sunshop Group
APT19,C0d0so
APT19,APT 19
APT28,SNAKEMACKEREL
APT28,Swallowtail
APT28,Group 74
APT28,Sednit
APT28,Sofacy
APT28,Pawn Storm
APT28,Fancy Bear
APT28,STRONTIUM
APT28,Tsar Team
APT28,Threat Group-4127
APT28,TG-4127
APT28,APT 28
APT28,PawnStorm
APT28,TsarTeam
APT28,Group-4127
APT28,TAG_0700
APT28,IRON TWILIGHT
APT28,SIG40
APT28,Grizzly Steppe
APT28,apt_sofacy
APT29,YTTRIUM
APT29,The Dukes
APT29,Cozy Bear
APT29,CozyDuke
APT29,Dukes
APT29,Group 100
APT29,Cozy Duke
APT29,EuroAPT
APT29,CozyBear
APT29,CozyCar
APT29,Cozer
APT29,Office Monkeys
APT29,OfficeMonkeys
APT29,Minidionis
APT29,SeaDuke
APT29,Hammer Toss
APT29,Iron Hemlock
APT29,Grizzly Steppe
APT3,Gothic Panda
APT3,Pirpi
APT3,UPS Team
APT3,Buckeye
APT3,Threat Group-0110
APT3,TG-0110
APT3,APT 3
APT3,Group 6
APT3,Boyusec
APT30,PLA Unit 78020
APT30,APT 30
APT30,Override Panda
APT30,Camerashy
APT30,APT.Naikon
APT30,Lotus Panda
APT30,Hellsing
APT32,SeaLotus
APT32,OceanLotus
APT32,APT-C-00
APT33,Elfin
APT37,ScarCruft
APT37,Reaper
APT37,Group123
APT37,TEMP.Reaper
APT38,Operation DarkSeoul
APT38,Dark Seoul
APT38,Hidden Cobra
APT38,Hastati Group
APT38,Andariel
APT38,Unit 121
APT38,Bureau 121
APT38,NewRomanic Cyber Army Team
APT38,Bluenoroff
APT38,Subgroup: Bluenoroff
APT38,Group 77
APT38,Labyrinth Chollima
APT38,Operation Troy
APT38,Operation GhostSecret
APT38,Operation AppleJeus
APT38,APT 38
APT38,Stardust Chollima
APT38,Whois Hacking Team
APT38,Zinc
APT38,Appleworm
APT38,Nickel Academy
APT38,APT-C-26
APT39,Chafer
APT41,Winnti Umbrella
APT41,Winnti Group
APT41,WinNTI
APT41,Tailgater Team
APT41,Suckfly
APT41,APT 41
APT41,Group 72
APT41,Group72
APT41,Tailgater
APT41,Ragebeast
APT41,Blackfly
APT41,Lead
APT41,Wicked Spider
APT41,APT17
APT41,APT 17
APT41,Dogfish
APT41,Deputy Dog
APT41,Wicked Panda
APT41,Barium
BRONZE BUTLER,REDBALDKNIGHT
BRONZE BUTLER,Tick
Carbanak,Anunak
Carbanak,Carbon Spider
Carbanak,FIN7
Cobalt Group,Cobalt Gang
Cobalt Group,Cobalt Spider
Cobalt Group,Cobalt group
Cobalt Group,Cobalt gang
Cobalt Group,GOLD KINGSWOOD
Deep Panda,Shell Crew
Deep Panda,WebMasters
Deep Panda,KungFu Kittens
Deep Panda,PinkPanther
Deep Panda,Black Vine
Deep Panda,APT 19
Deep Panda,Group 13
Deep Panda,Sh3llCr3w
Dragonfly,Energetic Bear
Dragonfly,Crouching Yeti
Dragonfly,Group 24
Dragonfly,Havex
Dragonfly,CrouchingYeti
Dragonfly,Koala Team
Dragonfly,IRON LIBERTY
Dragonfly 2.0,Berserk Bear
Dragonfly 2.0,Dragonfly2
Dragonfly 2.0,Berserker Bear
Elderwood,Elderwood Gang
Elderwood,Beijing Group
Elderwood,Sneaky Panda
Elderwood,SIG22
FIN6,ITG08
FIN7,Carbanak
FIN7,Carbon Spider
Gorgon Group,Subaat
Ke3chang,APT15
Ke3chang,Mirage
Ke3chang,Vixen Panda
Ke3chang,GREF
Ke3chang,Playful Dragon
Ke3chang,RoyalAPT
Kimsuky,Velvet Chollima
Kimsuky,Black Banshee
Lazarus Group,HIDDEN COBRA
Lazarus Group,Guardians of Peace
Lazarus Group,ZINC
Lazarus Group,NICKEL ACADEMY
Leafminer,Raspite
Leviathan,TEMP.Jumper
Leviathan,APT40
Leviathan,TEMP.Periscope
Lotus Blossom,DRAGONFISH
Lotus Blossom,Spring Dragon
Magic Hound,Rocket Kitten
Magic Hound,Operation Saffron Rose
Magic Hound,Ajax Security Team
Magic Hound,Operation Woolen-Goldfish
Magic Hound,Newscaster
Magic Hound,Cobalt Gypsy
Magic Hound,APT35
Magic Hound,Operation Cleaver
Magic Hound,Tarh Andishan
Magic Hound,Alibaba
Magic Hound,2889
Magic Hound,TG-2889
Magic Hound,Rocket_Kitten
Magic Hound,Cutting Kitten
Magic Hound,Group 41
Magic Hound,APT 35
Magic Hound,TEMP.Beanie
Magic Hound,Ghambar
Molerats,Operation Molerats
Molerats,Gaza Cybergang
MuddyWater,Seedworm
MuddyWater,TEMP.Zagros
OilRig,IRN2
OilRig,HELIX KITTEN
OilRig,APT34
OilRig,Greenbug
Patchwork,Dropping Elephant
Patchwork,Chinastrats
Patchwork,MONSOON
Patchwork,Operation Hangover
Patchwork,Monsoon
Patchwork,Sarit
Patchwork,Quilted Tiger
Patchwork,APT-C-09
PittyTiger,MANGANESE
Putter Panda,APT2
Putter Panda,MSUpdater
Rancor,Rancor group
Rancor,Rancor Group
Sandworm Team,Quedagh
Sandworm Team,VOODOO BEAR
Sandworm Team,Black Energy
Sandworm Team,BlackEnergy
Sandworm Team,Voodoo Bear
Sandworm Team,TEMP.Noble
Sandworm Team,Iron Viking
Silence,Silence APT group
Silence,WHISPER SPIDER
Strider,ProjectSauron
Strider,Sauron
Strider,Project Sauron
Suckfly,Winnti Umbrella
Suckfly,Winnti Group
Suckfly,WinNTI
Suckfly,Tailgater Team
Suckfly,APT41
Suckfly,APT 41
Suckfly,Group 72
Suckfly,Group72
Suckfly,Tailgater
Suckfly,Ragebeast
Suckfly,Blackfly
Suckfly,Lead
Suckfly,Wicked Spider
Suckfly,APT17
Suckfly,APT 17
Suckfly,Dogfish
Suckfly,Deputy Dog
Suckfly,Wicked Panda
Suckfly,Barium
TEMP.Veles,XENOTIME
Threat Group-3390,TG-3390
Threat Group-3390,Emissary Panda
Threat Group-3390,BRONZE UNION
Threat Group-3390,APT27
Threat Group-3390,Iron Tiger
Threat Group-3390,LuckyMouse
Tropic Trooper,KeyBoy
Turla,Waterbug
Turla,WhiteBear
Turla,VENOMOUS BEAR
Turla,Snake
Turla,Krypton
Turla,Venomous Bear
Turla,VENOMOUS Bear
Turla,Group 88
Turla,WRAITH
Turla,Turla Team
Turla,Uroburos
Turla,Pfinet
Turla,TAG_0530
Turla,KRYPTON
Turla,Hippo Team
Turla,Pacifier APT
Turla,Popeye
Turla,SIG23
Turla,Iron Hunter
Turla,MAKERSMARK
Winnti Group,Blackfly
Winnti Group,Winnti Umbrella
Winnti Group,WinNTI
Winnti Group,Tailgater Team
Winnti Group,Suckfly
Winnti Group,APT41
Winnti Group,APT 41
Winnti Group,Group 72
Winnti Group,Group72
Winnti Group,Tailgater
Winnti Group,Ragebeast
Winnti Group,Lead
Winnti Group,Wicked Spider
Winnti Group,APT17
Winnti Group,APT 17
Winnti Group,Dogfish
Winnti Group,Deputy Dog
Winnti Group,Wicked Panda
Winnti Group,Barium
admin@338,Admin338
admin@338,Team338
admin@338,MAGNESIUM
menuPass,Stone Panda
menuPass,APT10
menuPass,Red Apollo
menuPass,CVNX
menuPass,HOGFISH
menuPass,APT 10
menuPass,MenuPass
menuPass,Menupass Team
menuPass,menuPass Team
menuPass,happyyongzi
menuPass,POTASSIUM
menuPass,DustStorm
menuPass,Cloud Hopper
