labels,name,description,goals,country
activist,admin@338,The threat group has previously used newsworthy events as lures to deliver malware,espionage,China
nation-state,APT12,"Numbered Panda has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments",espionage,China
spy,APT16,"China-based APT groups launched several spear-phishing attacks targeting Japanese and Taiwanese organizations in the high-tech, government services, media and financial services industries",espionage,China
nation-state,APT17,"APT 17 is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations",espionage,China
nation-state,APT18,"APT 18 is a group that has been active for a number of years, targeting various industries such as healthcare, telecommunications, aerospace, defense, and high tech. The group is known to leverage recently released exploits very shortly after those exploits are available",espionage,China
crime-syndicate,APT19,"A group likely composed of freelancers, with some degree of sponsorship by the Chinese government",espionage,China
nation-state,APT28,APT 28 is a threat group that has been attributed to Russia’s Main Intelligence Directorate of the Russian General Staff,espionage,Russia
nation-state,APT29,"The Dukes are a well-resourced, highly dedicated and organized cyberespionage group that we believe has been working for the Russian Federation since at least 2008 to collect intelligence in support of foreign and security policy decision-making",espionage,Russia
nation-state,APT3,"APT3 is a sophisticated threat group that has been active since at least 2010. APT3 utilizes a broad range of tools and techniques including spear-phishing attacks, zero-day exploits, and numerous unique and publicly available remote access tools (RAT)",espionage,China
nation-state,APT30,APT 30 is a threat group suspected to be associated with the Chinese government,espionage,China
nation-state,APT32,"APT32 targeting foreign corporations with a vested interest in Vietnam’s manufacturing, consumer products, and hospitality sectors. APT32 has also targeted foreign governments, as well as Vietnamese dissidents",espionage,Vietnam
nation-state,APT33,"APT33 has targeted organizations in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest in organizations in the aviation sector involved in both military and commercial capacities, as well as organizations in the energy sector","espionage,sabotage",Iran
nation-state,APT37,APT37 is a suspected North Korean cyber espionage group that has been active since at least 2012,espionage,North Korea
nation-state,APT38,APT 38 concentrates on stealing money,financial gain,North Korea
nation-state,APT39,APT39 have targeted the telecommunication and travel industries to collect personal information that aligns with Iran's national priorities,espionage,Iran
crime-syndicate,BlackOasis,BlackOasis is a Middle Eastern threat group that is believed to be a customer of Gamma Group,espionage,Unknown
crime-syndicate,BRONZE BUTLER,Bronze Bulter primarily targets organizations located in Japan. The threat group has sought unauthorized access to networks of organizations,espionage,China
crime-syndicate,Carbanak,Carbanak is a threat group that mainly targets banks. It also refers to malware of the same name (Carbanak),financial gain,Ukraine
crime-syndicate,Charming Kitten,"Charming Kitten is an Iranian cyberespionage group that to focus on targeting individuals of interest to Iran who work in academic research, human rights, and media",espionage,Iran
crime-syndicate,Cobalt Group,Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions,financial gain,Russia
crime-syndicate,CopyKittens,CopyKittens is an Iranian cyberespionage group that has been operating since at least 2013,espionage,Iran
nation-state,Dark Caracal,"Dark Caracal is a persistent and prolific actor, who at the time of writing is believed to be administered out of a building belonging to the Lebanese General Security Directorate in Beirut",espionage,Lebanon
nation-state,Darkhotel,Darkhotel is a threat group that has been active since at least 2004. The group has conducted activity on hotel and business center Wi‑Fi and physical connections as well as peer-to-peer and file sharing networks,espionage,South Korea
crime-syndicate,DarkHydrus,DarkHydrus is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016,espionage,Iran
crime-syndicate,Deep Panda,"Deep Panda is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications","espionage,financial gain",China
crime-syndicate,Dragonfly,Dragonfly is a cyberespionage group that has been active since at least 2011. They initially targeted defense and aviation companies but shifted to focus on the energy sector in early 2013,sabotage,Russia
crime-syndicate,Dragonfly 2.0,Dragonfly 2.0 is a suspected Russian group that has targeted government entities and multiple U.S. critical infrastructure sectors since at least March 2016,sabotage,Russia
crime-syndicate,DragonOK,DragonOK is a threat group that has targeted Japanese organizations with phishing emails,espionage,China
nation-state,Equation,"The Equation group is a highly sophisticated threat actor that has been engaged in multiple CNE (computer network exploitation) operations dating back to 2001, and perhaps as early as 1996",sabotage,USA
crime-syndicate,FIN10,FIN10 is a financially motivated threat group that has targeted organizations in North America since at least 2013 through 2016. The group uses stolen data exfiltrated from victims to extort organizations,financial gain,Unknown
crime-syndicate,FIN5,FIN5 is a financially motivated threat group that has targeted personally identifiable information and payment card information,financial gain,Unknown
crime-syndicate,FIN6,FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on underground marketplaces,financial gain,Unknown
crime-syndicate,FIN7,"FIN7 is a financially-motivated threat group that has primarily targeted the U.S. retail, restaurant, and hospitality sectors since mid-2015",financial gain,Russia
crime-syndicate,FIN8,"FIN8 is a financially motivated threat group known to launch tailored spearphishing campaigns targeting the retail, restaurant, and hospitality industries",financial gain,Unknown
crime-syndicate,Gallmaker,Gallmaker is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017,espionage,Unknown
nation-state,Gamaredon Group,Gamaredon Group is a threat group that has been active since at least 2013 and has targeted individuals likely involved in the Ukrainian government,espionage,Russia
crime-syndicate,GCMAN,GCMAN is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services,financial gain,Unknown
nation-state,Gorgon Group,Gorgon Group is a threat group consisting of members who are suspected to be Pakistan-based or have other connections to Pakistan,"espionage,financial gain",Pakistan
nation-state,Group5,"Group5 is a threat group with a suspected Iranian nexus, though this attribution is not definite. The group has targeted individuals connected to the Syrian opposition via spearphishing and watering holes",espionage,Iran
nation-state,Ke3chang,"Ke3chang is a threat group attributed to actors operating out of China. Ke3chang has targeted several industries, including oil, government, military",espionage,China
nation-state,Lazarus Group,"Lazarus Group is commonly believed to be run by the North Korean government, motivated primarily by financial gain as a method of circumventing long-standing sanctions against the regime","espionage,financial gain,sabotage",North Korea
crime-syndicate,Leafminer,Leafminer is targeting a broad list of government organizations and business verticals in various regions in the Middle East since at least early 2017,espionage,Iran
nation-state,Leviathan,Leviathan is a cyber espionage group that has been active since at least 2013. The group generally targets defense and government organizations,espionage,China
nation-state,Lotus Blossom,"Lotus Blossom is a long running APT actor that operates on a massive scale. The group has been running campaigns, mostly in countries and territories around the South China Sea",espionage,China
nation-state,Magic Hound,Magic Hound is an Iranian-sponsored threat group operating primarily in the Middle East that dates back as early as 2014,espionage,Iran
nation-state,menuPass,menuPass is a threat group that appears to originate from China and has been active since approximately 2009,espionage,China
terrorist,Molerats,"The Gaza cybergang is an Arabic-language, politically-motivated cybercriminal group, operating since 2012 and actively targeting the MENA (Middle East North Africa) region",espionage,Gaza
crime-syndicate,MuddyWater,"MuddyWater is an APT group that has been active throughout 2017, targeting victims in Middle East",espionage,Iran
nation-state,Naikon,Naikon is a threat group that has focused on targets around the South China Sea,espionage,China
crime-syndicate,NEODYMIUM,Neodymium is an activity group that conducted a campaign in May 2016 and has heavily targeted Turkish victims,espionage,Unknown
nation-state,OilRig,OilRig is a threat group with suspected Iranian origins that has targeted Middle Eastern and international victims since at least 2014,espionage,Iran
crime-syndicate,Patchwork,"Patchwork is a cyberespionage group that was first observed in December 2015. While the group has not been definitively attributed, circumstantial evidence suggests the group may be a pro-Indian or Indian entity",espionage,India
crime-syndicate,PLATINUM,PLATINUM is an activity group that has targeted victims since at least 2009. The group has focused on targets associated with governments and related organizations in South and Southeast Asia,espionage,China
crime-syndicate,Poseidon Group,Poseidon Group is a Portuguese-speaking threat group that has been active since at least 2005,espionage,Unknown
crime-syndicate,PROMETHIUM,PROMETHIUM is an activity group that has been active since at least 2012. The group conducted a campaign in May 2016 and has heavily targeted Turkish victims,espionage,Turkey
nation-state,Putter Panda,Putter Panda is a Chinese threat group that has been attributed to Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD),espionage,China
crime-syndicate,Rancor,Rancor is a threat group that has led targeted campaigns against the South East Asia region. Rancor uses politically-motivated lures to entice victims to open malicious documents,espionage,China
criminal,RTM,RTM is a cybercriminal group that has been active since at least 2015 and is primarily interested in users of remote banking systems in Russia and neighboring countries,financial gain,Russia
crime-syndicate,Sandworm Team,Sandworm Team is a Russian cyber espionage group that has operated since approximately 2009. The group likely consists of Russian pro-hacktivists,sabotage,Russia
crime-syndicate,Scarlet Mimic,"Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group's motivations appear to overlap with those of the Chinese government",espionage,China
