CVE,reservedDate,publishedDate,baseScore
CVE-2011-0609,2011-01,2011-03,9.3
CVE-2011-0611,2011-01,2011-04,9.3
CVE-2011-1255,2011-03,2011-06,9.3
CVE-2011-3544,2011-09,2011-10,10
CVE-2016-0034,2015-12,2016-01,8.8
CVE-2016-0167,2015-12,2016-04,7.8
CVE-2016-0189,2015-12,2016-05,7.5
CVE-2016-0984,2015-12,2016-02,9.8
CVE-2016-1019,2015-12,2016-04,9.8
CVE-2016-3393,2016-03,2016-10,7.8
CVE-2016-4117,2016-04,2016-05,9.8
CVE-2016-4171,2016-04,2016-06,9.8
CVE-2016-4655,2016-05,2016-08,5.5
CVE-2016-4656,2016-05,2016-08,7.8
CVE-2016-4657,2016-05,2016-08,8.8
CVE-2016-7255,2016-09,2016-11,7.8
CVE-2016-7256,2016-09,2016-11,8.8
CVE-2016-7836,2016-09,2017-06,9.8
CVE-2016-7855,2016-09,2016-11,8.8
CVE-2020-0674,2016-09,2020-02,7.5
CVE-2020-10189,2016-09,2020-03,9.8
CVE-2013-0634,2012-12,2013-02,9.3
CVE-2013-0640,2012-12,2013-02,9.3
CVE-2013-1331,2013-01,2013-06,9.3
CVE-2013-2465,2013-03,2013-06,10
CVE-2013-2729,2013-03,2013-05,10
CVE-2013-3346,2013-05,2013-08,10
CVE-2013-3893,2013-06,2013-09,9.3
CVE-2013-3906,2013-06,2013-11,9.3
CVE-2013-3918,2013-06,2013-11,9.3
CVE-2013-4979,2013-07,2014-01,9.3
CVE-2013-5065,2013-08,2013-11,7.2
CVE-2013-5990,2013-10,2013-11,9.3
CVE-2013-7331,2014-02,2014-02,4.3
CVE-2012-0158,2011-12,2012-04,9.3
CVE-2012-1535,2012-03,2012-08,9.3
CVE-2012-1723,2012-03,2012-06,10
CVE-2012-1856,2012-03,2012-08,9.3
CVE-2012-1889,2012-03,2012-06,9.3
CVE-2012-2539,2012-05,2012-12,9.3
CVE-2012-4681,2012-08,2012-08,10
CVE-2012-4792,2012-09,2012-12,9.3
CVE-2012-4969,2012-09,2012-09,9.3
CVE-2015-0071,2014-11,2015-02,4.3
CVE-2015-0116,2014-11,2015-06,3.5
CVE-2015-1641,2015-02,2015-04,9.3
CVE-2015-1701,2015-02,2015-04,7.2
CVE-2015-1770,2015-02,2015-06,9.3
CVE-2015-2387,2015-03,2015-07,7.2
CVE-2015-2419,2015-03,2015-07,9.3
CVE-2015-2424,2015-03,2015-07,9.3
CVE-2015-2426,2015-03,2015-07,9.3
CVE-2015-2545,2015-03,2015-09,9.3
CVE-2015-2546,2015-03,2015-09,6.9
CVE-2015-2590,2015-03,2015-07,10
CVE-2015-3043,2015-04,2015-04,10
CVE-2015-3105,2015-04,2015-06,10
CVE-2015-3113,2015-04,2015-06,10
CVE-2015-4902,2015-06,2015-10,5
CVE-2015-5119,2015-06,2015-07,10
CVE-2015-5122,2015-06,2015-07,10
CVE-2015-5123,2015-06,2015-07,10
CVE-2015-6585,2015-08,2017-07,7.8
CVE-2015-7645,2015-10,2015-10,9.3
CVE-2015-8651,2015-12,2015-12,8.8
CVE-2009-1123,2009-03,2009-06,7.2
CVE-2009-1125,2009-03,2009-06,7.2
CVE-2009-3129,2009-09,2009-11,9.3
CVE-2009-4324,2009-12,2009-12,9.3
CVE-2008-1436,2008-03,2008-04,9
CVE-2008-3431,2008-07,2008-08,7.2
CVE-2008-4250,2008-09,2008-10,10
CVE-2017-0001,2016-09,2017-03,7.8
CVE-2017-0143,2016-09,2017-03,8.1
CVE-2017-0144,2016-09,2017-03,8.1
CVE-2017-0145,2016-09,2017-03,8.1
CVE-2017-0199,2016-09,2017-04,7.8
CVE-2017-0213,2016-09,2017-05,4.7
CVE-2017-0261,2016-09,2017-05,7.8
CVE-2017-0262,2016-09,2017-05,7.8
CVE-2017-0263,2016-09,2017-05,7.8
CVE-2017-11292,2017-07,2017-10,8.8
CVE-2017-11774,2017-07,2017-10,7.8
CVE-2017-11869,2017-07,2017-11,7.5
CVE-2017-11882,2017-07,2017-11,7.8
CVE-2017-8570,2017-05,2017-07,7.8
CVE-2017-8759,2017-05,2017-09,7.8
CVE-2018-0798,2017-12,2018-01,8.8
CVE-2018-0802,2017-12,2018-01,7.8
CVE-2018-20250,2018-12,2019-02,7.8
CVE-2018-4878,2018-01,2018-02,9.8
CVE-2018-5002,2018-01,2018-07,9.8
CVE-2018-8174,2018-03,2018-05,7.5
CVE-2018-8373,2018-03,2018-08,7.5
CVE-2018-8414,2018-03,2018-08,8.8
CVE-2018-8453,2018-03,2018-10,7.8
CVE-2018-8589,2018-03,2018-11,7.8
CVE-2018-8611,2018-03,2018-12,7.8
CVE-2014-0322,2013-12,2014-02,9.3
CVE-2014-0324,2013-12,2014-03,9.3
CVE-2014-0497,2013-12,2014-02,10
CVE-2014-1761,2014-01,2014-03,9.3
CVE-2014-1776,2014-01,2014-04,10
CVE-2014-4113,2014-06,2014-10,7.2
CVE-2014-4114,2014-06,2014-10,9.3
CVE-2014-6324,2014-09,2014-11,9
CVE-2014-6332,2014-09,2014-11,9.3
CVE-2014-6352,2014-09,2014-10,9.3
CVE-2014-7247,2014-09,2014-11,10
CVE-2014-8439,2014-10,2014-11,10
